# This MVPS HOSTS file is a free download from:           #
# http://www.mvps.org/winhelp2002/                        #
#                                                         #
# Notes: the browser does not read this "#" symbol        #
# You can create your own notes, after the # symbol       #
# This *must* be the first line: 127.0.0.1     localhost  #
# ********************************************************#
# ------------------Updated: 04-15-05---------------------#
# ********************************************************#
# Entries marked with Parasite or Trojan comments should  #
# be placed in the Internet Explorer Restricted Zone.     #
# http://mvps.org/winhelp2002/restricted.htm              #
#                                                         #
# Entries with other comments are searchable via Google.  #
#                                                         #
# Disclaimer: this file is free to use, however it is NOT #
# permitted to post on any other site without permission. #
#                                                         #
# This work is licensed under the Creative Commons        #
# Attribution-NonCommercial-ShareAlike License.           #
# http://creativecommons.org/licenses/by-nc-sa/2.0/       #

127.0.0.1  banner.simpletraffic.com
127.0.0.1  banners.simpletraffic.com
127.0.0.1  direct.simpletraffic.com
127.0.0.1  media.simpletraffic.com
127.0.0.1  track.simpletraffic.com
127.0.0.1  download.supersmileys.com
127.0.0.1  www.supersmileys.com #[FWNToolbar]
# [eventures NV - affiliate][Firefly Lane|Net Think Media]
127.0.0.1  dlsearchbar.com #[DLSearchBar]
127.0.0.1  download.dlsearchbar.com
127.0.0.1  track.dlsearchbar.com
127.0.0.1  dev.eurodnsservices.com
127.0.0.1  dlstats.eurodnsservices.com #[CQD2Loader Object]
127.0.0.1  xmlbar.eurodnsservices.com
127.0.0.1  findwhatevernow.com #[Parasite.Pugi]
127.0.0.1  search.findwhatevernow.com
127.0.0.1  www.findwhatevernow.com #[StartPage-FK]
127.0.0.1  freemp3blaster.com #[installs RapidBlaster]
127.0.0.1  smartdownloader.com
127.0.0.1  dlengine.smartdownloader.com
127.0.0.1  www.smartdownloader.com #[CQD2Loader Object]
127.0.0.1  www.teensearchbar.com #[DLSearchBar]
# [eXact Advertising LLC][Adware.BargainBuddy]
127.0.0.1  download.bargain-buddy.net
127.0.0.1  www.bargain-buddy.net #[AdWare.BargainBuddy.n]
127.0.0.1  www.bestoftheweb.cc
127.0.0.1  www.brainfox.com
127.0.0.1  www.bullseye-network.com
127.0.0.1  www.bullseye-network.net
127.0.0.1  results.cafefind.net
127.0.0.1  www.cashbackbuddy.com
127.0.0.1  www.dealbandit.com
127.0.0.1  www.exactadvertising.com
127.0.0.1  www.exactsearch.net
127.0.0.1  exactsearchbar.com #[Adware.Exactbar][SPYW_EXACTBAR.A]
127.0.0.1  www.exactsearchbar.com #[Parasite.eXactSearch]
127.0.0.1  www.fungamedownloads.com
127.0.0.1  adp.ikena.com
127.0.0.1  www.navisearch.net
127.0.0.1  searchbandit.net
127.0.0.1  www.searchbandit.net #[searchfeed.com]
127.0.0.1  www.searchcluster.com
127.0.0.1  www.searchfish.com
# [Extreme-DM][Tracking Service][Restricted Zone site]
127.0.0.1  extreme-dm.com
127.0.0.1  reports.extreme-dm.com
127.0.0.1  t.extreme-dm.com
127.0.0.1  t0.extreme-dm.com
127.0.0.1  t1.extreme-dm.com
127.0.0.1  u0.extreme-dm.com
127.0.0.1  u.extreme-dm.com
127.0.0.1  u1.extreme-dm.com
127.0.0.1  v.extreme-dm.com
127.0.0.1  v0.extreme-dm.com
127.0.0.1  v1.extreme-dm.com
127.0.0.1  w0.extreme-dm.com
127.0.0.1  w1.extreme-dm.com
127.0.0.1  x3.extreme-dm.com
127.0.0.1  y.extreme-dm.com
127.0.0.1  y0.extreme-dm.com
127.0.0.1  y1.extreme-dm.com
127.0.0.1  z.extreme-dm.com
127.0.0.1  z0.extreme-dm.com
127.0.0.1  z1.extreme-dm.com
# [Ezer Ratchaga][Restricted Zone site]
127.0.0.1  www.adultfriendsearch.com
127.0.0.1  logo.affiliatebot.com
127.0.0.1  link.affiliatebot.com
127.0.0.1  affiliate.friendsearch.com
127.0.0.1  dating.friendsearch.com
127.0.0.1  partner.friendsearch.com
127.0.0.1  www.friendsearch.com
127.0.0.1  ads.free-banners.com
127.0.0.1  affiliate.free-banners.com
127.0.0.1  home.free-banners.com
127.0.0.1  www.free-banners.com
127.0.0.1  ads.freevisits.com
127.0.0.1  search.hotplugins.com
127.0.0.1  www.hotplugins.com
127.0.0.1  toolbar.push.com #[searchv2.dll]
# [Falk AdSolution][Falk eSolutions AG][Tracking Service]
127.0.0.1  a.as-eu.falkag.net
127.0.0.1  data.as-eu.falkag.net
127.0.0.1  e.as-eu.falkag.net
127.0.0.1  f.as-eu.falkag.net
127.0.0.1  red.as-eu.falkag.net
127.0.0.1  red01.as-eu.falkag.net
127.0.0.1  sel.as-eu.falkag.net
127.0.0.1  a.as-us.falkag.net
127.0.0.1  b.as-us.falkag.net
127.0.0.1  bw.as-us.falkag.net
127.0.0.1  c.as-us.falkag.net
127.0.0.1  e.as-us.falkag.net
127.0.0.1  red01.as-us.falkag.net #[obtains user IP]
127.0.0.1  s.as-us.falkag.net
127.0.0.1  sel.as-us.falkag.net
127.0.0.1  as1.falkag.de
127.0.0.1  www.falkag.de
127.0.0.1  ad1.adsolution.de
127.0.0.1  falk.speedera.net
127.0.0.1  falk2.speedera.net
# [Farid Faryadi]
127.0.0.1  www.azebar.com #[CParamWr Class][Adware.MWSearch]
127.0.0.1  www.azenetwork.com
127.0.0.1  toolbar.azesearch.com #[AdWare.ToolBar.Azesearch.a]
127.0.0.1  www1.azesearch.com
127.0.0.1  www2.azesearch.com
127.0.0.1  www3.azesearch.com
127.0.0.1  www.azesearch.com
127.0.0.1  www.consoleads.com
127.0.0.1  www.cracksweb.com
127.0.0.1  www.cwbsearch.com
127.0.0.1  www.findcracks.com
127.0.0.1  www.freeserials.net
127.0.0.1  www.freeserials.com
127.0.0.1  www.getdafuck.com
127.0.0.1  www.mature-porn.us
127.0.0.1  www.xxxphotos.ws
# [FastClick][Tracking Service][IE-SpyAd]
127.0.0.1  adserver.com
127.0.0.1  asm3.z1.adserver.com
127.0.0.1  z1.adserver.com
127.0.0.1  www.adserver.com
127.0.0.1  fastclick.com
127.0.0.1  www.fastclick.com
127.0.0.1  cdn.fastclick.net
127.0.0.1  code.fastclick.net
127.0.0.1  images.fastclick.net
127.0.0.1  media.fastclick.net
127.0.0.1  media1.fastclick.net
127.0.0.1  media2.fastclick.net
127.0.0.1  media3.fastclick.net
127.0.0.1  media4.fastclick.net
127.0.0.1  media5.fastclick.net
127.0.0.1  media6.fastclick.net
127.0.0.1  media7.fastclick.net
127.0.0.1  media8.fastclick.net
127.0.0.1  media9.fastclick.net
127.0.0.1  media10.fastclick.net
127.0.0.1  media11.fastclick.net
127.0.0.1  media12.fastclick.net
127.0.0.1  media13.fastclick.net
127.0.0.1  media14.fastclick.net
127.0.0.1  media15.fastclick.net
127.0.0.1  media16.fastclick.net
127.0.0.1  media17.fastclick.net
127.0.0.1  media18.fastclick.net
127.0.0.1  media19.fastclick.net
127.0.0.1  media20.fastclick.net
127.0.0.1  media21.fastclick.net
127.0.0.1  media22.fastclick.net
127.0.0.1  media23.fastclick.net
127.0.0.1  media24.fastclick.net
127.0.0.1  media25.fastclick.net
127.0.0.1  media26.fastclick.net
127.0.0.1  media27.fastclick.net
127.0.0.1  media28.fastclick.net
127.0.0.1  media29.fastclick.net
127.0.0.1  media30.fastclick.net
127.0.0.1  media31.fastclick.net
127.0.0.1  media32.fastclick.net
127.0.0.1  media47.fastclick.net
127.0.0.1  media59.fastclick.net
127.0.0.1  media71.fastclick.net
127.0.0.1  media73.fastclick.net
127.0.0.1  media79.fastclick.net
127.0.0.1  media87.fastclick.net
127.0.0.1  media94.fastclick.net
127.0.0.1  media97.fastclick.net
127.0.0.1  media100.fastclick.net
127.0.0.1  media108.fastclick.net
127.0.0.1  fastclick.com.edgesuite.net
127.0.0.1  metacount.com
127.0.0.1  ns1.metacount.com
127.0.0.1  stats.metacount.com
127.0.0.1  www.metacount.com
# [FindWhat.com, Inc]
127.0.0.1  www.findwhat.com
127.0.0.1  getfound.com #[Parasite.GogoTools]
127.0.0.1  www.getfound.com #[Troj/Getfound-A]
127.0.0.1  www.sonicsearch.net #[Parasite.GrandStreet]
127.0.0.1  sonicsearch.subportal.com #[ipowerweb.com]
# [Firehunt Portal][IE-SpyAd]
127.0.0.1  firehunt.com
127.0.0.1  static.firehunt.com
127.0.0.1  partnerns1.firehunt.com
127.0.0.1  partnerns2.firehunt.com
127.0.0.1  partnerns3.firehunt.com
127.0.0.1  partnerns4.firehunt.com
127.0.0.1  partnerns5.firehunt.com
127.0.0.1  partnerns6.firehunt.com
127.0.0.1  partnerns7.firehunt.com
127.0.0.1  partnerns8.firehunt.com
127.0.0.1  partnerns9.firehunt.com
127.0.0.1  partnerns10.firehunt.com
127.0.0.1  partnerns11.firehunt.com
127.0.0.1  partnerns12.firehunt.com
127.0.0.1  partnerns13.firehunt.com
127.0.0.1  partnerns14.firehunt.com
127.0.0.1  partnerns15.firehunt.com
127.0.0.1  partnerns16.firehunt.com
127.0.0.1  www.firehunt.com
127.0.0.1  partner11.firehunt.com
127.0.0.1  partner47.firehunt.com
# [First Cash Reserve][IBIS Information Technologies]
127.0.0.1  www.404-errorpage.com
127.0.0.1  as.adwave.com #[Parasite.HuntBar][Adware/WinTools]
127.0.0.1  sr.adwave.com
127.0.0.1  huntbar.com
127.0.0.1  search.huntbar.com
127.0.0.1  www.huntbar.com #[Adware.Huntbar.B]
127.0.0.1  www.ibis.com
127.0.0.1  www.ibisit.com
127.0.0.1  www.ibis.cz
127.0.0.1  adserver.trafficsyndicate.com
127.0.0.1  distribution.trafficsyndicate.com
127.0.0.1  dst.trafficsyndicate.com #[Parasite.HuntBar]
127.0.0.1  search.trafficsyndicate.com
127.0.0.1  xml.trafficsyndicate.com
127.0.0.1  xml2.trafficsyndicate.com
127.0.0.1  www.trafficsyndicate.com
127.0.0.1  is1.crawler.com
127.0.0.1  mb.crawler.com
127.0.0.1  www.seekerbar.com
127.0.0.1  senkypl.com
127.0.0.1  websearch.com #[Adware.Huntbar]
127.0.0.1  download.websearch.com #[WinTools]
127.0.0.1  is1.websearch.com
127.0.0.1  is2.websearch.com
127.0.0.1  ranking.websearch.com
127.0.0.1  rs.websearch.com
127.0.0.1  sr.websearch.com
127.0.0.1  www.websearch.com #[WebSearch Toolbar.Emailplug]
127.0.0.1  www.websearch.net
127.0.0.1  win-tools.com #[ADW_WSEARCH.109]
127.0.0.1  www.win-tools.com
# [Flashpoint Media][Parasite.FlashTrack]
127.0.0.1  a.flashpoint.bm
127.0.0.1  c.flashpoint.bm
127.0.0.1  www.flashpoint.bm
127.0.0.1  config.broadcastpc.tv #[TROJ_RVP.E]
127.0.0.1  report.broadcastpc.tv #[AdvWare.Broadcap.a]
127.0.0.1  www.broadcastpc.tv #[Adware.Broadcastpc]
127.0.0.1  www.downaload.com
127.0.0.1  www.soft-aware.com
127.0.0.1  www.terminexor.com #[Rogue/Suspect][IE-SpyAd]
# [Focus Interactive, Inc][Adware.Aornum]
127.0.0.1  buddies.funbuddyicons.com
127.0.0.1  www.funbuddyicons.com
127.0.0.1  download.funwebproducts.com
127.0.0.1  www.funwebproducts.com
127.0.0.1  c4.iwon.com
127.0.0.1  cc.iwon.com #[iWon Progressive Counter]
127.0.0.1  docs1.iwon.com
127.0.0.1  efc.iwon.com
127.0.0.1  home.iwon.com #[iWon CoPilot Toolbar]
127.0.0.1  image.i1img.com
127.0.0.1  i1img.com
127.0.0.1  my.iwon.com
127.0.0.1  plus.iwon.com
127.0.0.1  prizemachine.games.iwon.com
127.0.0.1  search.iwon.com
127.0.0.1  searchassistant.iwon.com
127.0.0.1  www1.iwon.com
127.0.0.1  www.iwon.com #[Adware.IWon]
127.0.0.1  imgfarm.com #[Fun Web Products Installer Start]
127.0.0.1  ak.imgfarm.com #[FunWebProducts]
127.0.0.1  image.imgfarm.com
127.0.0.1  bar.mytotalsearch.com
127.0.0.1  www.mytotalsearch.com
127.0.0.1  mn.myquicksearch.com
127.0.0.1  mr.myquicksearch.com
127.0.0.1  www.myquicksearch.com #[MyQuickSearch Search Assistant]
127.0.0.1  c4.maxserving.com
127.0.0.1  c4.mysearch.com #[Parasite.MySearch]
127.0.0.1  www.mysearch.com #[Adware.Mybar]
127.0.0.1  help.mysearch.com
127.0.0.1  mywebsearch.com
127.0.0.1  bar.mywebsearch.com
127.0.0.1  cfg.mywebsearch.com #[Parasite.MySearch]
127.0.0.1  www.mywebsearch.com
127.0.0.1  speedbar.myway.com #[MyWay.MyBar]
# [FOCALEX][Tracking Service][Restricted Zone site]
127.0.0.1  focalex.com
127.0.0.1  img.focalex.com
127.0.0.1  load.focalex.com
127.0.0.1  rd.focalex.com
127.0.0.1  tafbar.focalex.com
127.0.0.1  tafmaster-p.focalex.com
127.0.0.1  tafmaster-s.focalex.com
127.0.0.1  tafmaster-t.focalex.com
127.0.0.1  tafmaster-v.focalex.com
127.0.0.1  tafmaster-v2.focalex.com
127.0.0.1  tafmaster-v3.focalex.com
127.0.0.1  tafmaster-v4.focalex.com
127.0.0.1  tafmaster-v5.focalex.com
127.0.0.1  tafmaster-v6.focalex.com
127.0.0.1  tafmaster-v7.focalex.com
127.0.0.1  tafmaster-v8.focalex.com
127.0.0.1  tafmaster-v9.focalex.com
127.0.0.1  tafmaster-v10.focalex.com
127.0.0.1  tafmaster-v11.focalex.com
127.0.0.1  thankyou.focalex.com
127.0.0.1  tafbar.com #[Spyware.TAFbar]
127.0.0.1  s.tafbar.com
127.0.0.1  www.tafbar.com
127.0.0.1  tafmaster.com
127.0.0.1  www.tafmaster.com
#[Fordale Investment][Adware.Dware]
127.0.0.1  downloadware.net
127.0.0.1  www.downloadware.net #[Parasite.DownloadWare]
127.0.0.1  fordaleltd.com
127.0.0.1  config.fordaleltd.com
127.0.0.1  www.fordaleltd.com
# [FreeMyName, LLC]
127.0.0.1  www.fmnmedia.com
127.0.0.1  www.fmn-media.com #[DNLCertificate Control]
127.0.0.1  www.freemyname.com
127.0.0.1  www.winpl.com #[Parasite.WinPL]
# [Friendfinder][W32.Friendgreet.worm]
127.0.0.1  friendcards.com
127.0.0.1  www.friendcards.com
127.0.0.1  friendfinder.com
127.0.0.1  ads.friendfinder.com
127.0.0.1  graphics.friendfinder.com
127.0.0.1  www.friendsgreetings.com
127.0.0.1  graphics.nicecards.com
127.0.0.1  www.nicecards.com
# [Fun-Lotto.com][Parasite.Pugi]
127.0.0.1  adpowerzone.com
127.0.0.1  ads.adpowerzone.com
127.0.0.1  easy.adpowerzone.com
127.0.0.1  ss.adpowerzone.com
127.0.0.1  tb.adpowerzone.com
127.0.0.1  tb-static.adpowerzone.com #[Adware.Websearch]
127.0.0.1  www.adpowerzone.com #[Adware.Searchexplorer]
# [GATOR.COM][dba: Claria][Parasite.Gator]
127.0.0.1  content.dashbar.com
127.0.0.1  results.dashbar.com #[DashBar Toolbar]
127.0.0.1  www.dashbar.com
127.0.0.1  www.date-manager.com #[Claria.DateManager]
127.0.0.1  dist.belnk.com #[HDPluginCtrl Class]
127.0.0.1  www.entrypass.com
127.0.0.1  www.gator.com
127.0.0.1  www.gatorcorporation.com
127.0.0.1  www.gatoradvertisinginformationnetwork.com
127.0.0.1  bannerserver.gator.com
127.0.0.1  bc2.gator.com #[SPYW_GATOR.B]
127.0.0.1  bg.gator.com
127.0.0.1  bg2.gator.com
127.0.0.1  bi.gator.com
127.0.0.1  coupons.gator.com
127.0.0.1  gator29.gator.com
127.0.0.1  gatorcme.gator.com
127.0.0.1  gatortime.gator.com
127.0.0.1  gbs.gator.com
127.0.0.1  gi.gator.com
127.0.0.1  gs.gator.com
127.0.0.1  gt.gator.com
127.0.0.1  images.gator.com
127.0.0.1  map.gator.com
127.0.0.1  patchserver.gator.com
127.0.0.1  patchserver2.gator.com
127.0.0.1  regserver.gator.com
127.0.0.1  rs.gator.com
127.0.0.1  scriptserver.gator.com
127.0.0.1  search.gator.com
127.0.0.1  ss.gator.com
127.0.0.1  ssbackup.gator.com
127.0.0.1  ts.gator.com
127.0.0.1  trickle.gator.com
127.0.0.1  updateserver.gator.com
127.0.0.1  weather.gator.com
127.0.0.1  web.balance.gator.com
127.0.0.1  webpdp.gator.com #[DFRun Class][HDPluginCtrl Class]
127.0.0.1  xmlsearch.gator.com
127.0.0.1  xmlsearch.balance.gator.com
127.0.0.1  www.offercompanion.com
127.0.0.1  www.precision-time.com #[Claria.PrecisionTime]
127.0.0.1  www.screenscenes.com
127.0.0.1  content.searchscout.com
127.0.0.1  results.searchscout.com
127.0.0.1  www.searchscout.com #[Adware.SearchScout]
127.0.0.1  www.tgcsearch.com #[IE-SpyAd]
127.0.0.1  www.weatherscope.com #[Claria.WeatherScope]
127.0.0.1  www.websecurealert.com #[Claria.WebSecureAlert]
# [GEEKTECK][Tracking Service][IE-SpyAd]
127.0.0.1  bannermaster.geektech.com
127.0.0.1  www.boxfrog.com
127.0.0.1  pageload2.babenet.com
127.0.0.1  affiliate.getspace.com
127.0.0.1  enter.hypercount.com
127.0.0.1  hypercount.com
127.0.0.1  www.hypercount.com
# [Green-Acres Services][Tracking Service][IE-SpyAd]
127.0.0.1  123count.com
127.0.0.1  www.123count.com
127.0.0.1  www.123stat.com
127.0.0.1  web-stat.com
127.0.0.1  server3.web-stat.com
127.0.0.1  www.web-stat.com
# [Gohip][Gohip Freevideo][KB320159]
127.0.0.1  gohip.com
127.0.0.1  dev.gohip.com
127.0.0.1  foundry.gohip.com
127.0.0.1  previewstage.gohip.com
127.0.0.1  search.gohip.com
127.0.0.1  stage.gohip.com
127.0.0.1  stats.gohip.com
127.0.0.1  wmservera.gohip.com
127.0.0.1  www.gohip.com
127.0.0.1  www.homelandnetwork.com
127.0.0.1  www.nohip.com
# [Google Inc][Restricted Zone site]
127.0.0.1  adwords.google.com
127.0.0.1  pagead.googlesyndication.com
127.0.0.1  pagead2.googlesyndication.com
127.0.0.1  adservices.google.com
127.0.0.1  www.googleadservices.com
127.0.0.1  apps5.oingo.com
# [Green Horse Corporation][Adware.TickerBar]
127.0.0.1  greenhorse.com
127.0.0.1  www.greenhorse.com
127.0.0.1  tickerbar.info
127.0.0.1  graphics.tickerbar.info
# [WEBSIDESTORY.COM][Tracking Service][IE-SpyAd]
127.0.0.1  hitbox.com
127.0.0.1  ai.hitbox.com
127.0.0.1  aibg.hitbox.com
127.0.0.1  counter.hitbox.com
127.0.0.1  ehg.hitbox.com
127.0.0.1  evwr.hitbox.com
127.0.0.1  get.hitbox.com
127.0.0.1  hg1.hitbox.com
127.0.0.1  hitboxcentral.com
127.0.0.1  ias.hitbox.com
127.0.0.1  ibg.hitbox.com
127.0.0.1  js1.hitbox.com
127.0.0.1  phg.hitbox.com
127.0.0.1  resources.hitbox.com
127.0.0.1  rd1.hitbox.com
127.0.0.1  sitesearch.hitbox.com
127.0.0.1  stats.hitbox.com
127.0.0.1  tools.hitbox.com
127.0.0.1  tools2.hitbox.com
127.0.0.1  vwr1.hitbox.com
127.0.0.1  vwr2.hitbox.com
127.0.0.1  vwr3.hitbox.com
127.0.0.1  w1.hitbox.com
127.0.0.1  w2.hitbox.com
127.0.0.1  w3.hitbox.com
127.0.0.1  w4.hitbox.com
127.0.0.1  w5.hitbox.com
127.0.0.1  w6.hitbox.com
127.0.0.1  w7.hitbox.com
127.0.0.1  w8.hitbox.com
127.0.0.1  w9.hitbox.com
127.0.0.1  w10.hitbox.com
127.0.0.1  w11.hitbox.com
127.0.0.1  w12.hitbox.com
127.0.0.1  w13.hitbox.com
127.0.0.1  w14.hitbox.com
127.0.0.1  w15.hitbox.com
127.0.0.1  w16.hitbox.com
127.0.0.1  w17.hitbox.com
127.0.0.1  w18.hitbox.com
127.0.0.1  w19.hitbox.com
127.0.0.1  w20.hitbox.com
127.0.0.1  w21.hitbox.com
127.0.0.1  w22.hitbox.com
127.0.0.1  w23.hitbox.com
127.0.0.1  w24.hitbox.com
127.0.0.1  w25.hitbox.com
127.0.0.1  w26.hitbox.com
127.0.0.1  w27.hitbox.com
127.0.0.1  w28.hitbox.com
127.0.0.1  w29.hitbox.com
127.0.0.1  w30.hitbox.com
127.0.0.1  w31.hitbox.com
127.0.0.1  w32.hitbox.com
127.0.0.1  w33.hitbox.com
127.0.0.1  w101.hitbox.com
127.0.0.1  ww2.hitbox.com
127.0.0.1  ww3.hitbox.com
127.0.0.1  wwa.hitbox.com
127.0.0.1  wwb.hitbox.com
127.0.0.1  wwc.hitbox.com
127.0.0.1  wwd.hitbox.com
127.0.0.1  www.hitbox.com
# [HITEXCHANGE][Restricted Zone site]
127.0.0.1  hitexchange.net
127.0.0.1  gif.hitexchange.net
127.0.0.1  img.hitexchange.net
127.0.0.1  www.hitexchange.net
127.0.0.1  ns1.hitx.net
127.0.0.1  www.hitx.net
# [Home][Mihey]
127.0.0.1  all-find.org #[Trojan.Anicmoo.D]
127.0.0.1  www.big-search.org
# [HOMESTEAD][Restricted Zone site]
127.0.0.1  stats.homestead.com
127.0.0.1  track.homestead.com
127.0.0.1  track2.homestead.com
# [HOTBAR][Adware.Hotbar][Parasite.HotBar]
127.0.0.1  hotbar.com
127.0.0.1  adopt.hotbar.com
127.0.0.1  ads.hotbar.com
127.0.0.1  cs.hotbar.com
127.0.0.1  dynamic.hotbar.com
127.0.0.1  dynmenu.hotbar.com
127.0.0.1  installs.hotbar.com #[HbInstObj Class]
127.0.0.1  license.hotbar.com
127.0.0.1  promos.hotbar.com
127.0.0.1  puv.hotbar.com
127.0.0.1  reports.hotbar.com
127.0.0.1  searchdisp.hotbar.com
127.0.0.1  skins.hotbar.com
127.0.0.1  tooltips.hotbar.com
127.0.0.1  updates.hotbar.com
127.0.0.1  vip-farm1.hotbar.com
127.0.0.1  vip-farm2.hotbar.com
127.0.0.1  vip-farm1v.hotbar.com
127.0.0.1  vip-farm2v.hotbar.com
127.0.0.1  vip-farm5v.hotbar.com
127.0.0.1  vip-farm31v.hotbar.com
127.0.0.1  www.hotbar.com
127.0.0.1  net-offers.net
127.0.0.1  shopperreports.pricetool.com #[Hotbar.ShoppingReports]
127.0.0.1  resultsmaster.com
127.0.0.1  www.resultsmaster.com
# [HOTLOG][Restricted Zone site]
127.0.0.1  ad.hotlog.ru
127.0.0.1  click.hotlog.ru
127.0.0.1  globalstats.hotlog.ru
127.0.0.1  hit.hotlog.ru
127.0.0.1  hit1.hotlog.ru
127.0.0.1  hit2.hotlog.ru
127.0.0.1  hit3.hotlog.ru
127.0.0.1  hit4.hotlog.ru
127.0.0.1  hit5.hotlog.ru
127.0.0.1  hit6.hotlog.ru
127.0.0.1  hit7.hotlog.ru
127.0.0.1  hit8.hotlog.ru
127.0.0.1  hit9.hotlog.ru
127.0.0.1  hit10.hotlog.ru
127.0.0.1  www1.hotlog.ru
127.0.0.1  www2.hotlog.ru
127.0.0.1  www3.hotlog.ru
127.0.0.1  www4.hotlog.ru
127.0.0.1  www.hotlog.ru
# [Hyperbanner Accordnet Ltd][Restricted Zone site]
127.0.0.1  hyperbanner.net
127.0.0.1  ads.hyperbanner.net
127.0.0.1  ads10.hyperbanner.net
127.0.0.1  ads11.hyperbanner.net
127.0.0.1  ads12.hyperbanner.net
127.0.0.1  ads13.hyperbanner.net
127.0.0.1  ads14.hyperbanner.net
127.0.0.1  ads15.hyperbanner.net
127.0.0.1  ads16.hyperbanner.net
127.0.0.1  ads17.hyperbanner.net
127.0.0.1  ads18.hyperbanner.net
127.0.0.1  ads19.hyperbanner.net
127.0.0.1  ads20.hyperbanner.net
127.0.0.1  siterank.hypermart.net
127.0.0.1  spms.hyperbanner.net
127.0.0.1  ads05.bpath.com
127.0.0.1  ads06.bpath.com
127.0.0.1  ads07.bpath.com
127.0.0.1  ads08.bpath.com
127.0.0.1  ads09.bpath.com
127.0.0.1  ads10.bpath.com
127.0.0.1  ads12.bpath.com
127.0.0.1  ads13.bpath.com
127.0.0.1  ads14.bpath.com
127.0.0.1  ads15.bpath.com
127.0.0.1  ads16.bpath.com
127.0.0.1  ads17.bpath.com
127.0.0.1  ads18.bpath.com
127.0.0.1  ads19.bpath.com
127.0.0.1  ads20.bpath.com
127.0.0.1  ads21.bpath.com
127.0.0.1  ads22.bpath.com
127.0.0.1  ads23.bpath.com
127.0.0.1  ads24.bpath.com
127.0.0.1  ads25.bpath.com
127.0.0.1  ads26.bpath.com
127.0.0.1  ads27.bpath.com
127.0.0.1  ads28.bpath.com
127.0.0.1  ads29.bpath.com
127.0.0.1  australia.bpath.com
127.0.0.1  spms.bpath.com
127.0.0.1  usa.bpath.com
127.0.0.1  www.bpath.com
# [Iclicks Internet Inc][617577 BC Ltd]
127.0.0.1  exits.freepornpics.com #[i-lookup.com]
127.0.0.1  getclicksnow.com
127.0.0.1  iclicks.net
127.0.0.1  www.iclicks.net
127.0.0.1  www3.killallspyware.com #[Rogue/Suspect][Parasite.Rogues]
127.0.0.1  www.killallspyware.com
127.0.0.1  pur9.killevidence.com
127.0.0.1  www3.killevidence.com
127.0.0.1  www9.killevidence.com
127.0.0.1  www.killevidence.com
127.0.0.1  www3.killinternetpopups.com
127.0.0.1  www.killinternetpopups.com
127.0.0.1  mainstreamdollars.com
127.0.0.1  www.mainstreamdollars.com
127.0.0.1  megapornbucks.com #[i-lookup.com]
127.0.0.1  mgallery.megapornbucks.com #[exits.freepornpics.com]
127.0.0.1  www9.megapornbucks.com
127.0.0.1  www.megapornbucks.com
127.0.0.1  www2.spamnotify.com
127.0.0.1  www9.spamnotify.com
127.0.0.1  www.spamnotify.com
# [iDownload][Click Feel Media]
127.0.0.1  www.adservs.com #[server down?]
127.0.0.1  in.hushware.com
127.0.0.1  www.hushware.com
127.0.0.1  idbl.idblg.com
127.0.0.1  cftrack.idownload.com
127.0.0.1  md.idownload.com
127.0.0.1  secure.idownload.com
127.0.0.1  www.idownload.com
127.0.0.1  in.interboost.com
127.0.0.1  www.interboost.com
127.0.0.1  auto.isearch.com
127.0.0.1  dist.isearch.com
127.0.0.1  toolbar.isearch.com #[iSearch Toolbar][Spyware.ISearch]
127.0.0.1  www.isearch.com
127.0.0.1  in.popupblocker.com
127.0.0.1  www.popupblocker.com
127.0.0.1  in.securefavorites.com
127.0.0.1  www.securefavorites.com
127.0.0.1  spywareavenger.com #[Rogue/Suspect]
127.0.0.1  in.spywareavenger.com
127.0.0.1  www.spywareavenger.com
127.0.0.1  cftrack.uninstaller.com
127.0.0.1  in.uninstaller.com
127.0.0.1  www.uninstaller.com
127.0.0.1  in.virushunter.com
127.0.0.1  www.virushunter.com
127.0.0.1  in.wmkiller.com
127.0.0.1  www.wmkiller.com
# [IE PLUGIN LIMITED][Adware.IEPlugin]
127.0.0.1  ieplugin.com
127.0.0.1  badurl.ieplugin.com
127.0.0.1  search.ieplugin.com #[IEPlugin.Search]
127.0.0.1  sysupdate.ieplugin.com
127.0.0.1  wwa.ieplugin.com
127.0.0.1  wwd.ieplugin.com
127.0.0.1  ww2.ieplugin.com
127.0.0.1  ww3.ieplugin.com
127.0.0.1  www.ieplugin.com
# [IGetNet Keywords][Adware.IGetNet][Parasite.IGetNet]
127.0.0.1  almightysearch.com
127.0.0.1  www.almightysearch.com
127.0.0.1  www.ignkeywords.com
127.0.0.1  igetnet.com #[Backdoor.GetNet]
127.0.0.1  www.igetnet.com
127.0.0.1  code.ignphrases.com
127.0.0.1  www.ignphrases.com
127.0.0.1  plugusin4cash.com
127.0.0.1  www.plugusin4cash.com
127.0.0.1  rspsearch.com
127.0.0.1  www.rspsearch.com
# [iLab Technologies]
127.0.0.1  general-guide.com
127.0.0.1  ilabtech.com #[IE-SpyAd]
127.0.0.1  www.keywordsinc.com
127.0.0.1  keywordstech.com
127.0.0.1  www.searchfast.net
127.0.0.1  searchfst.com #[SFUtility Class]
127.0.0.1  www.searchfst.com #[Parasite.Searchfst]
# [IMR Worldwide][Tracking Service][IE-SpyAd]
127.0.0.1  measurement.redsheriff.com
